City1,City1_long,City1_lat,City2,City2_long,City2_lat,City3,City3_long,City3_lat,Prompt,Response,correct
"Longmont, CO",-105.1005,40.1686,"Arroyo Grande, CA",-120.5845,35.1241,"St. Joseph, MO",-94.821,39.7599,Is Longmont CO closer to Arroyo Grande CA or St. Joseph MO?,"St. Joseph, MO",1
"Palm Harbor, FL",-82.7481,28.0847,"Des Plaines, IL",-87.9009,42.0345,"Allen, TX",-96.6735,33.1088,Is Palm Harbor FL closer to Des Plaines IL or Allen TX?,"Des Plaines, IL",1
"White Plains, NY",-73.7549,41.022,"Odessa, TX",-102.3406,31.8831,"League City, TX",-95.1087,29.4873,Is White Plains NY closer to Odessa TX or League City TX?,"League City, TX",1
"Lancaster, CA",-118.1753,34.6935,"Apex, NC",-78.8728,35.7239,"Ankeny, IA",-93.6033,41.7285,Is Lancaster CA closer to Apex NC or Ankeny IA?,"Apex, NC",1
"Omaha, NE",-96.0522,41.2627,"Norfolk, VA",-76.259,36.8945,"South Hill, WA",-122.2848,47.1203,Is Omaha NE closer to Norfolk VA or South Hill WA?,"Norfolk, VA",0
"Syracuse, NY",-76.1438,43.0409,"Apex, NC",-78.8728,35.7239,"Portland, OR",-122.65,45.5372,Is Syracuse NY closer to Apex NC or Portland OR?,"Portland, OR",0
"Columbia, SC",-80.9037,34.0376,"Concord, NC",-80.6366,35.3933,"Irving, TX",-96.9702,32.8584,Is Columbia SC closer to Concord NC or Irving TX?,"Concord, NC",0
"Warren, MI",-83.027,42.4934,"Norwalk, CA",-118.0829,33.9069,"Portsmouth, NH",-70.7826,43.058,Is Warren MI closer to Norwalk CA or Portsmouth NH?,"Portsmouth, NH",1
"Davis, CA",-121.7365,38.5552,"Wheeling, WV",-80.6951,40.0752,"Sandy Springs, GA",-84.3703,33.9366,Is Davis CA closer to Wheeling WV or Sandy Springs GA?,"Sandy Springs, GA",1
"Cicero, IL",-87.7593,41.8445,"Paradise, NV",-115.1369,36.0807,"Johnstown, PA",-78.9193,40.3258,Is Cicero IL closer to Paradise NV or Johnstown PA?,"Paradise, NV",1
"Delray Beach, FL",-80.0905,26.455,"Weymouth, MA",-70.9466,42.1984,"Brooklyn Park, MN",-93.3505,45.1112,Is Delray Beach FL closer to Weymouth MA or Brooklyn Park MN?,"Brooklyn Park, MN",0
"East Stroudsburg, PA",-75.1779,41.0023,"Eden Prairie, MN",-93.4595,44.8488,"Fresno, CA",-119.7941,36.7831,Is East Stroudsburg PA closer to Eden Prairie MN or Fresno CA?,"Eden Prairie, MN",0
"Fountainebleau, FL",-80.3458,25.7723,"Parma, OH",-81.7286,41.3843,"Jonesboro, AR",-90.6791,35.8212,Is Fountainebleau FL closer to Parma OH or Jonesboro AR?,"Parma, OH",1
"Ithaca, NY",-76.5032,42.4442,"Irving, TX",-96.9702,32.8584,"Sacramento, CA",-121.4683,38.5667,Is Ithaca NY closer to Irving TX or Sacramento CA?,"Sacramento, CA",0
"Arvada, CO",-105.1511,39.8321,"Pittsfield, MA",-73.2605,42.4517,"Kissimmee, FL",-81.4164,28.3042,Is Arvada CO closer to Pittsfield MA or Kissimmee FL?,"Kissimmee, FL",1
"El Paso de Robles, CA",-120.656,35.6394,"Warren, MI",-83.027,42.4934,"Sanford, FL",-81.276,28.7893,Is El Paso de Robles CA closer to Warren MI or Sanford FL?,"El Paso de Robles, CA",0
"Apopka, FL",-81.5304,28.7014,"La Crosse, WI",-91.2268,43.824,"Irvine, CA",-117.7738,33.6772,Is Apopka FL closer to La Crosse WI or Irvine CA?,"Irvine, CA",0
"Johnstown, PA",-78.9193,40.3258,"Racine, WI",-87.8135,42.7274,"The Hammocks, FL",-80.4483,25.67,Is Johnstown PA closer to Racine WI or The Hammocks FL?,"Racine, WI",0
"St. Cloud, FL",-81.2829,28.2294,"Cary, NC",-78.8191,35.782,"Port Arthur, TX",-93.9264,29.8554,Is St. Cloud FL closer to Cary NC or Port Arthur TX?,"Cary, NC",0
"Miami Gardens, FL",-80.2426,25.9433,"Spring, TX",-95.383,30.0613,"Mansfield, OH",-82.5275,40.7656,Is Miami Gardens FL closer to Spring TX or Mansfield OH?,"Spring, TX",0
"Brentwood, NY",-73.2522,40.7839,"Forney, TX",-96.4529,32.744,"Cathedral City, CA",-116.4642,33.8363,Is Brentwood NY closer to Forney TX or Cathedral City CA?,"Forney, TX",0
"Columbia, SC",-80.9037,34.0376,"Kenner, LA",-90.2549,30.0109,"Indio, CA",-116.2346,33.7346,Is Columbia SC closer to Kenner LA or Indio CA?,"Indio, CA",0
"Tacoma, WA",-122.4531,47.2431,"Texarkana, TX",-94.0815,33.4487,"Valdosta, GA",-83.2788,30.8502,Is Tacoma WA closer to Texarkana TX or Valdosta GA?,"Texarkana, TX",0
"Redwood City, CA",-122.2252,37.5026,"Garland, TX",-96.6305,32.91,"Davis, CA",-121.7365,38.5552,Is Redwood City CA closer to Garland TX or Davis CA?,"Davis, CA",1
"Longview, WA",-122.9629,46.1461,"Paterson, NJ",-74.1624,40.9147,"Springfield, IL",-89.6538,39.771,Is Longview WA closer to Paterson NJ or Springfield IL?,"Springfield, IL",1
"Germantown, MD",-77.2643,39.1755,"Minnetonka, MN",-93.4598,44.9322,"Cupertino, CA",-122.0465,37.3168,Is Germantown MD closer to Minnetonka MN or Cupertino CA?,"Minnetonka, MN",0
"North Las Vegas, NV",-115.0901,36.288,"Huntersville, NC",-80.8727,35.4058,"Manchester, NH",-71.4447,42.9848,Is North Las Vegas NV closer to Huntersville NC or Manchester NH?,"Huntersville, NC",0
"Barnstable, MA",-70.3599,41.6722,"Hazleton, PA",-75.9724,40.9504,"Spring, TX",-95.383,30.0613,Is Barnstable MA closer to Hazleton PA or Spring TX?,"Hazleton, PA",0
"Baton Rouge, LA",-91.131,30.4418,"Aspen Hill, MD",-77.0823,39.0928,"Boynton Beach, FL",-80.0811,26.5281,Is Baton Rouge LA closer to Aspen Hill MD or Boynton Beach FL?,"Boynton Beach, FL",1
"Tracy, CA",-121.4522,37.7269,"Bentonville, AR",-94.2306,36.3546,"Hagerstown, MD",-77.7217,39.6401,Is Tracy CA closer to Bentonville AR or Hagerstown MD?,"Bentonville, AR",0
"Waco, TX",-97.1881,31.5598,"Rochester Hills, MI",-83.1563,42.6645,"Barnstable, MA",-70.3599,41.6722,Is Waco TX closer to Rochester Hills MI or Barnstable MA?,"Rochester Hills, MI",0
"Santa Fe, NM",-105.9819,35.6619,"Bethesda, MD",-77.1188,38.9866,"Ponce, PR",-66.6198,18.012,Is Santa Fe NM closer to Bethesda MD or Ponce PR?,"Santa Fe, NM",0
"Bristol, TN",-82.2154,36.5572,"Arcadia, CA",-118.0373,34.1342,"Pawtucket, RI",-71.3743,41.8744,Is Bristol TN closer to Arcadia CA or Pawtucket RI?,"Arcadia, CA",1
"Methuen Town, MA",-71.1889,42.734,"Chico, CA",-121.8152,39.7575,"Woodbury, MN",-92.923,44.9056,Is Methuen Town MA closer to Chico CA or Woodbury MN?,"Chico, CA",1
"Tulare, CA",-119.34,36.1996,"Springfield, OH",-83.7957,39.9297,"Fond du Lac, WI",-88.4396,43.7718,Is Tulare CA closer to Springfield OH or Fond du Lac WI?,"Springfield, OH",1
"Taunton, MA",-71.0943,41.9036,"Lakeland, FL",-81.9545,28.0556,"Pico Rivera, CA",-118.0888,33.9902,Is Taunton MA closer to Lakeland FL or Pico Rivera CA?,"Lakeland, FL",0
"Brunswick, GA",-81.474,31.145,"Alexandria, LA",-92.4702,31.2923,"Florence, AL",-87.6654,34.8303,Is Brunswick GA closer to Alexandria LA or Florence AL?,"Alexandria, LA",1
"Hialeah, FL",-80.3046,25.8696,"Coconut Creek, FL",-80.1842,26.2803,"Muncie, IN",-85.395,40.1989,Is Hialeah FL closer to Coconut Creek FL or Muncie IN?,"Coconut Creek, FL",0
"San Diego, CA",-117.1225,32.8312,"Lebanon, PA",-76.4227,40.3412,"Taylorsville, UT",-111.9493,40.657,Is San Diego CA closer to Lebanon PA or Taylorsville UT?,"Lebanon, PA",1
"Toledo, OH",-83.5822,41.6639,"Dover, DE",-75.5203,39.161,"Jackson, MS",-90.2124,32.3163,Is Toledo OH closer to Dover DE or Jackson MS?,"Dover, DE",0
"Lewiston, ME",-70.1681,44.0915,"Athens, GA",-83.3689,33.9508,"Mobile, AL",-88.1162,30.6783,Is Lewiston ME closer to Athens GA or Mobile AL?,"Athens, GA",0
"High Point, NC",-79.9938,35.9907,"North Richland Hills, TX",-97.218,32.8605,"New Haven, CT",-72.9246,41.3112,Is High Point NC closer to North Richland Hills TX or New Haven CT?,"New Haven, CT",1
"Burnsville, MN",-93.2795,44.7648,"New Braunfels, TX",-98.1148,29.6994,"Skokie, IL",-87.74,42.0359,Is Burnsville MN closer to New Braunfels TX or Skokie IL?,"Skokie, IL",1
"Topeka, KS",-95.6955,39.0346,"Cedar Park, TX",-97.8196,30.5106,"Vista, CA",-117.2386,33.1896,Is Topeka KS closer to Cedar Park TX or Vista CA?,"Cedar Park, TX",0
"Lafayette, LA",-92.0323,30.2084,"San Rafael, CA",-122.5222,37.9905,"Smyrna, GA",-84.5168,33.8633,Is Lafayette LA closer to San Rafael CA or Smyrna GA?,"San Rafael, CA",1
"Chicago, IL",-87.6862,41.8373,"Lake Havasu City, AZ",-114.3113,34.5006,"Nashua, NH",-71.491,42.7491,Is Chicago IL closer to Lake Havasu City AZ or Nashua NH?,"Lake Havasu City, AZ",1
"Alafaya, FL",-81.1865,28.5278,"Fresno, CA",-119.7941,36.7831,"Hagerstown, MD",-77.7217,39.6401,Is Alafaya FL closer to Fresno CA or Hagerstown MD?,"Fresno, CA",1
"Medford, MA",-71.1087,42.4234,"Bossier City, LA",-93.6666,32.5227,"Miami Beach, FL",-80.1396,25.8171,Is Medford MA closer to Bossier City LA or Miami Beach FL?,"Bossier City, LA",1
"Middletown, OH",-84.366,39.5032,"Winchester, VA",-78.1746,39.1735,"Federal Way, WA",-122.3358,47.3091,Is Middletown OH closer to Winchester VA or Federal Way WA?,"Winchester, VA",0
"Port Huron, MI",-82.4387,42.9822,"Sacramento, CA",-121.4683,38.5667,"Springfield, MA",-72.5395,42.1155,Is Port Huron MI closer to Sacramento CA or Springfield MA?,"Sacramento, CA",1
"Portsmouth, NH",-70.7826,43.058,"Jackson, MI",-84.4037,42.2431,"Santa Monica, CA",-118.4813,34.0232,Is Portsmouth NH closer to Jackson MI or Santa Monica CA?,"Jackson, MI",0
"Richmond, CA",-122.339,37.9477,"Philadelphia, PA",-75.1339,40.0077,"Pasco, WA",-119.1304,46.2506,Is Richmond CA closer to Philadelphia PA or Pasco WA?,"Philadelphia, PA",1
"Athens, GA",-83.3689,33.9508,"Los Lunas, NM",-106.7803,34.8115,"Frisco, TX",-96.8215,33.1555,Is Athens GA closer to Los Lunas NM or Frisco TX?,"Los Lunas, NM",1
"Carson, CA",-118.2559,33.8374,"Poughkeepsie, NY",-73.921,41.6949,"Pico Rivera, CA",-118.0888,33.9902,Is Carson CA closer to Poughkeepsie NY or Pico Rivera CA?,"Pico Rivera, CA",1
"Jersey City, NJ",-74.0682,40.7161,"Glens Falls, NY",-73.6459,43.3109,"Denton, TX",-97.1419,33.2176,Is Jersey City NJ closer to Glens Falls NY or Denton TX?,"Denton, TX",0
"Elkhart, IN",-85.9628,41.6916,"Wilmington, DE",-75.5413,39.7415,"Chula Vista, CA",-117.0145,32.6281,Is Elkhart IN closer to Wilmington DE or Chula Vista CA?,"Chula Vista, CA",0
"Victorville, CA",-117.3536,34.5277,"Charlotte, NC",-80.8304,35.208,"Indianapolis, IN",-86.1458,39.7771,Is Victorville CA closer to Charlotte NC or Indianapolis IN?,"Charlotte, NC",1
"Tacoma, WA",-122.4531,47.2431,"Medford, OR",-122.8537,42.3372,"Bakersfield, CA",-119.0359,35.3529,Is Tacoma WA closer to Medford OR or Bakersfield CA?,"Bakersfield, CA",0
"Escondido, CA",-117.0722,33.1347,"Spring Valley, NV",-115.2619,36.0987,"Lincoln, NE",-96.6788,40.809,Is Escondido CA closer to Spring Valley NV or Lincoln NE?,"Spring Valley, NV",0
"Houma, LA",-90.7058,29.5799,"Davie, FL",-80.287,26.0789,"Hampton, VA",-76.363,37.0551,Is Houma LA closer to Davie FL or Hampton VA?,"Davie, FL",0
"Conway, AR",-92.4694,35.0754,"Omaha, NE",-96.0522,41.2627,"Cape Girardeau, MO",-89.5597,37.3108,Is Conway AR closer to Omaha NE or Cape Girardeau MO?,"Omaha, NE",1
"Sierra Vista, AZ",-110.3153,31.563,"Portsmouth, VA",-76.354,36.8468,"League City, TX",-95.1087,29.4873,Is Sierra Vista AZ closer to Portsmouth VA or League City TX?,"League City, TX",1
"Pottstown, PA",-75.6444,40.2507,"Carbondale, IL",-89.2238,37.7221,"Lake Charles, LA",-93.2122,30.2012,Is Pottstown PA closer to Carbondale IL or Lake Charles LA?,"Lake Charles, LA",0
"Fond du Lac, WI",-88.4396,43.7718,"Hanford, CA",-119.6549,36.3274,"Hoboken, NJ",-74.0279,40.7453,Is Fond du Lac WI closer to Hanford CA or Hoboken NJ?,"Hanford, CA",1
"Frederick, MD",-77.4141,39.4336,"The Hammocks, FL",-80.4483,25.67,"El Paso de Robles, CA",-120.656,35.6394,Is Frederick MD closer to The Hammocks FL or El Paso de Robles CA?,"The Hammocks, FL",0
"Green Bay, WI",-87.9896,44.515,"Lake Elsinore, CA",-117.3344,33.6847,"South Hill, WA",-122.2848,47.1203,Is Green Bay WI closer to Lake Elsinore CA or South Hill WA?,"South Hill, WA",1
"Killeen, TX",-97.7296,31.0754,"Peoria, IL",-89.6153,40.752,"Deerfield Beach, FL",-80.1277,26.305,Is Killeen TX closer to Peoria IL or Deerfield Beach FL?,"Peoria, IL",0
"Lubbock, TX",-101.8878,33.5659,"Cartersville, GA",-84.8007,34.1639,"Lawrence, MA",-71.1626,42.7003,Is Lubbock TX closer to Cartersville GA or Lawrence MA?,"Cartersville, GA",0
"Redlands, CA",-117.1712,34.0511,"Bronx, NY",-73.8662,40.8501,"Lakewood, WA",-122.5299,47.1628,Is Redlands CA closer to Bronx NY or Lakewood WA?,"Bronx, NY",1
"Lawrence, MA",-71.1626,42.7003,"Milpitas, CA",-121.8921,37.4339,"Smyrna, TN",-86.5253,35.9722,Is Lawrence MA closer to Milpitas CA or Smyrna TN?,"Milpitas, CA",1
"Bronx, NY",-73.8662,40.8501,"Saginaw, MI",-83.9501,43.4199,"Bayamón, PR",-66.1635,18.3793,Is Bronx NY closer to Saginaw MI or Bayamón PR?,"Saginaw, MI",0
"Escondido, CA",-117.0722,33.1347,"Kettering, OH",-84.1495,39.6957,"San Ramon, CA",-121.9365,37.7625,Is Escondido CA closer to Kettering OH or San Ramon CA?,"San Ramon, CA",1
"Muncie, IN",-85.395,40.1989,"Apple Valley, CA",-117.2104,34.5328,"Hoboken, NJ",-74.0279,40.7453,Is Muncie IN closer to Apple Valley CA or Hoboken NJ?,"Hoboken, NJ",1
"Sparks, NV",-119.7157,39.5729,"Flagstaff, AZ",-111.6195,35.1872,"San Francisco, CA",-122.443,37.7562,Is Sparks NV closer to Flagstaff AZ or San Francisco CA?,"San Francisco, CA",1
"Brownsville, TX",-97.4565,25.998,"Highlands Ranch, CO",-104.9708,39.5419,"Lynn, MA",-70.9663,42.4779,Is Brownsville TX closer to Highlands Ranch CO or Lynn MA?,"Highlands Ranch, CO",0
"Hickory, NC",-81.323,35.7425,"Nashville, TN",-86.7843,36.1715,"Livermore, CA",-121.7608,37.6862,Is Hickory NC closer to Nashville TN or Livermore CA?,"Nashville, TN",0
"Lorain, OH",-82.184,41.4409,"Portland, ME",-70.2715,43.6773,"Tacoma, WA",-122.4531,47.2431,Is Lorain OH closer to Portland ME or Tacoma WA?,"Portland, ME",0
"Edinburg, TX",-98.1596,26.3197,"Longmont, CO",-105.1005,40.1686,"New Bern, NC",-77.0723,35.0955,Is Edinburg TX closer to Longmont CO or New Bern NC?,"Longmont, CO",0
"Brentwood, NY",-73.2522,40.7839,"Meridian, ID",-116.3968,43.6112,"Metairie, LA",-90.178,29.9977,Is Brentwood NY closer to Meridian ID or Metairie LA?,"Meridian, ID",1
"Bridgeport, CT",-73.1953,41.1918,"Wichita Falls, TX",-98.5291,33.9072,"Concord, NC",-80.6366,35.3933,Is Bridgeport CT closer to Wichita Falls TX or Concord NC?,"Concord, NC",1
"Boynton Beach, FL",-80.0811,26.5281,"Peoria, IL",-89.6153,40.752,"Eagan, MN",-93.1638,44.8169,Is Boynton Beach FL closer to Peoria IL or Eagan MN?,"Peoria, IL",0
"Albany, GA",-84.1762,31.5776,"Salisbury, MD",-75.5867,38.3756,"San Mateo, CA",-122.3122,37.5521,Is Albany GA closer to Salisbury MD or San Mateo CA?,"Salisbury, MD",0
"Columbus, OH",-82.985,39.9862,"Asheville, NC",-82.5536,35.5704,"Kennewick, WA",-119.1732,46.1978,Is Columbus OH closer to Asheville NC or Kennewick WA?,"Asheville, NC",0
"Denver, CO",-104.8759,39.7621,"Olathe, KS",-94.8198,38.8832,"Carrollton, TX",-96.8999,32.989,Is Denver CO closer to Olathe KS or Carrollton TX?,"Olathe, KS",0
"West Jordan, UT",-112.0008,40.6024,"Lakeland, FL",-81.9545,28.0556,"Casa Grande, AZ",-111.7624,32.9068,Is West Jordan UT closer to Lakeland FL or Casa Grande AZ?,"Lakeland, FL",1
"Springfield, OH",-83.7957,39.9297,"Concord, NC",-80.6366,35.3933,"Pleasanton, CA",-121.8805,37.6663,Is Springfield OH closer to Concord NC or Pleasanton CA?,"Concord, NC",0
"New Britain, CT",-72.7862,41.6758,"New Braunfels, TX",-98.1148,29.6994,"York, PA",-76.7315,39.9651,Is New Britain CT closer to New Braunfels TX or York PA?,"York, PA",1
"Riverside, CA",-117.3948,33.9381,"Decatur, IL",-88.9337,39.8556,"Deerfield Beach, FL",-80.1277,26.305,Is Riverside CA closer to Decatur IL or Deerfield Beach FL?,"Decatur, IL",0
"Long Beach, CA",-118.1675,33.7981,"Jersey City, NJ",-74.0682,40.7161,"Tracy, CA",-121.4522,37.7269,Is Long Beach CA closer to Jersey City NJ or Tracy CA?,"Jersey City, NJ",1
"Simi Valley, CA",-118.749,34.2663,"Idaho Falls, ID",-112.0362,43.4872,"Homestead, FL",-80.4472,25.4665,Is Simi Valley CA closer to Idaho Falls ID or Homestead FL?,"Idaho Falls, ID",0
"West Lafayette, IN",-86.9239,40.4432,"El Paso de Robles, CA",-120.656,35.6394,"Boise, ID",-116.2312,43.6007,Is West Lafayette IN closer to El Paso de Robles CA or Boise ID?,"Boise, ID",1
"Everett, WA",-122.1669,47.9525,"Walla Walla, WA",-118.3366,46.067,"Eden Prairie, MN",-93.4595,44.8488,Is Everett WA closer to Walla Walla WA or Eden Prairie MN?,"Walla Walla, WA",0
"Lancaster, CA",-118.1753,34.6935,"Paramount, CA",-118.1652,33.8976,"Saratoga Springs, NY",-73.7775,43.0674,Is Lancaster CA closer to Paramount CA or Saratoga Springs NY?,"Paramount, CA",0
"Naperville, IL",-88.1657,41.7483,"Kent, WA",-122.2129,47.3887,"Columbia, SC",-80.9037,34.0376,Is Naperville IL closer to Kent WA or Columbia SC?,"Columbia, SC",1
"Chapel Hill, NC",-79.0391,35.927,"Elmira, NY",-76.8097,42.0938,"Holland, MI",-86.0985,42.7677,Is Chapel Hill NC closer to Elmira NY or Holland MI?,"Elmira, NY",0
"Berwyn, IL",-87.7909,41.8433,"Rochester Hills, MI",-83.1563,42.6645,"Gainesville, GA",-83.8301,34.2903,Is Berwyn IL closer to Rochester Hills MI or Gainesville GA?,"Gainesville, GA",0
"Gilroy, CA",-121.5855,37.0047,"Port St. Lucie, FL",-80.3883,27.2796,"Bradenton, FL",-82.5739,27.49,Is Gilroy CA closer to Port St. Lucie FL or Bradenton FL?,"Bradenton, FL",1
"Clovis, CA",-119.6831,36.8278,"Bellevue, WA",-122.1535,47.5951,"Homestead, FL",-80.4472,25.4665,Is Clovis CA closer to Bellevue WA or Homestead FL?,"Bellevue, WA",0
"Lee's Summit, MO",-94.3816,38.9172,"Corvallis, OR",-123.278,44.5697,"Perth Amboy, NJ",-74.2724,40.5203,Is Lee's Summit MO closer to Corvallis OR or Perth Amboy NJ?,"Corvallis, OR",1
"St. Clair Shores, MI",-82.8957,42.4921,"Conroe, TX",-95.4825,30.3239,"Dover, DE",-75.5203,39.161,Is St. Clair Shores MI closer to Conroe TX or Dover DE?,"Conroe, TX",1
"El Paso, TX",-106.4309,31.8479,"Wellington, FL",-80.2699,26.6461,"Stillwater, OK",-97.074,36.1316,Is El Paso TX closer to Wellington FL or Stillwater OK?,"Wellington, FL",1
"Allentown, PA",-75.4756,40.5961,"West Valley City, UT",-112.0115,40.6889,"St. George, UT",-113.577,37.077,Is Allentown PA closer to West Valley City UT or St. George UT?,"St. George, UT",0
"Tucson, AZ",-110.8782,32.1545,"Daly City, CA",-122.4685,37.6862,"Cranston, RI",-71.4857,41.7658,Is Tucson AZ closer to Daly City CA or Cranston RI?,"Daly City, CA",0
"The Hammocks, FL",-80.4483,25.67,"La Crosse, WI",-91.2268,43.824,"Mansfield, TX",-97.1211,32.569,Is The Hammocks FL closer to La Crosse WI or Mansfield TX?,"La Crosse, WI",1
"Long Beach, CA",-118.1675,33.7981,"Mission, TX",-98.3251,26.2041,"Duluth, MN",-92.1392,46.7756,Is Long Beach CA closer to Mission TX or Duluth MN?,"Duluth, MN",0
"Santee, CA",-116.9851,32.8554,"Fort Worth, TX",-97.3473,32.7811,"Rogers, AR",-94.1526,36.3172,Is Santee CA closer to Fort Worth TX or Rogers AR?,"Fort Worth, TX",0
"Daly City, CA",-122.4685,37.6862,"Waterloo, IA",-92.3522,42.492,"Bonita Springs, FL",-81.7861,26.3559,Is Daly City CA closer to Waterloo IA or Bonita Springs FL?,"Waterloo, IA",0
"Las Cruces, NM",-106.7892,32.3265,"St. Charles, MO",-90.5157,38.7954,"Texarkana, TX",-94.0815,33.4487,Is Las Cruces NM closer to St. Charles MO or Texarkana TX?,"St. Charles, MO",1
"Pocatello, ID",-112.4646,42.8724,"Apple Valley, CA",-117.2104,34.5328,"Lake Jackson, TX",-95.4522,29.0516,Is Pocatello ID closer to Apple Valley CA or Lake Jackson TX?,"Lake Jackson, TX",0
"Philadelphia, PA",-75.1339,40.0077,"San Juan, PR",-66.0636,18.4037,"Mauldin, SC",-82.3005,34.7849,Is Philadelphia PA closer to San Juan PR or Mauldin SC?,"San Juan, PR",1
"Boulder, CO",-105.2523,40.0249,"Pearland, TX",-95.3215,29.5585,"Barnstable, MA",-70.3599,41.6722,Is Boulder CO closer to Pearland TX or Barnstable MA?,"Pearland, TX",0
"Morristown, TN",-83.3006,36.2046,"Newark, OH",-82.4251,40.0705,"Taylor, MI",-83.2688,42.226,Is Morristown TN closer to Newark OH or Taylor MI?,"Taylor, MI",0
"North Richland Hills, TX",-97.218,32.8605,"Levittown, PA",-74.853,40.1537,"Morgantown, WV",-79.9468,39.638,Is North Richland Hills TX closer to Levittown PA or Morgantown WV?,"Levittown, PA",1
"Gilbert, AZ",-111.7463,33.3101,"Gilroy, CA",-121.5855,37.0047,"Bolingbrook, IL",-88.1019,41.6903,Is Gilbert AZ closer to Gilroy CA or Bolingbrook IL?,"Gilroy, CA",0
"Somerville, MA",-71.1013,42.3908,"Bloomington, MN",-93.3151,44.8306,"Cicero, IL",-87.7593,41.8445,Is Somerville MA closer to Bloomington MN or Cicero IL?,"Bloomington, MN",1
"North Charleston, SC",-80.0722,32.9066,"Gresham, OR",-122.4413,45.5023,"Westland, MI",-83.3805,42.3192,Is North Charleston SC closer to Gresham OR or Westland MI?,"Gresham, OR",1
"Plymouth, MN",-93.4618,45.0225,"Jacksonville, FL",-81.6749,30.3322,"Kansas City, KS",-94.7443,39.1234,Is Plymouth MN closer to Jacksonville FL or Kansas City KS?,"Jacksonville, FL",1
"Dublin, CA",-121.8963,37.7161,"San Jose, CA",-121.8486,37.3019,"Gilbert, AZ",-111.7463,33.3101,Is Dublin CA closer to San Jose CA or Gilbert AZ?,"San Jose, CA",0
"Albany, OR",-123.0966,44.6274,"Coral Springs, FL",-80.2591,26.2702,"Manchester, NH",-71.4447,42.9848,Is Albany OR closer to Coral Springs FL or Manchester NH?,"Coral Springs, FL",1
"Traverse City, MI",-85.6035,44.7547,"Tulare, CA",-119.34,36.1996,"Coeur d'Alene, ID",-116.7935,47.7041,Is Traverse City MI closer to Tulare CA or Coeur d'Alene ID?,"Tulare, CA",1
"Rockville, MD",-77.1552,39.0834,"Hacienda Heights, CA",-117.9728,33.997,"Denton, TX",-97.1419,33.2176,Is Rockville MD closer to Hacienda Heights CA or Denton TX?,"Denton, TX",1
"Oak Park, IL",-87.7899,41.8872,"State College, PA",-77.8568,40.7909,"Virginia Beach, VA",-76.0435,36.7335,Is Oak Park IL closer to State College PA or Virginia Beach VA?,"State College, PA",0
"Loveland, CO",-105.0623,40.4166,"Columbus, GA",-84.8771,32.51,"Santa Maria, CA",-120.4432,34.9334,Is Loveland CO closer to Columbus GA or Santa Maria CA?,"Columbus, GA",1
"Portsmouth, VA",-76.354,36.8468,"Kansas City, KS",-94.7443,39.1234,"Lake Forest, CA",-117.6712,33.6606,Is Portsmouth VA closer to Kansas City KS or Lake Forest CA?,"Kansas City, KS",0
"Houston, TX",-95.3889,29.7863,"Guaynabo, PR",-66.1134,18.3839,"Fairfield, CA",-122.0324,38.2592,Is Houston TX closer to Guaynabo PR or Fairfield CA?,"Guaynabo, PR",1
"Livermore, CA",-121.7608,37.6862,"Tuscaloosa, AL",-87.5267,33.2348,"Antioch, CA",-121.7958,37.9789,Is Livermore CA closer to Tuscaloosa AL or Antioch CA?,"Tuscaloosa, AL",1
"Spring, TX",-95.383,30.0613,"Corvallis, OR",-123.278,44.5697,"Temple, TX",-97.3894,31.1076,Is Spring TX closer to Corvallis OR or Temple TX?,"Corvallis, OR",1
"Baytown, TX",-94.9669,29.7586,"Hamilton, OH",-84.5653,39.3938,"Livermore, CA",-121.7608,37.6862,Is Baytown TX closer to Hamilton OH or Livermore CA?,"Hamilton, OH",0
"Cleveland, OH",-81.6804,41.4767,"Lauderhill, FL",-80.2242,26.1605,"Westland, MI",-83.3805,42.3192,Is Cleveland OH closer to Lauderhill FL or Westland MI?,"Lauderhill, FL",1
"Brentwood, CA",-121.7191,37.9355,"North Port, FL",-82.1975,27.0577,"Eagle Pass, TX",-100.484,28.7125,Is Brentwood CA closer to North Port FL or Eagle Pass TX?,"North Port, FL",1
"Casper, WY",-106.3207,42.842,"Kalamazoo, MI",-85.5882,42.2749,"Daytona Beach, FL",-81.0982,29.1994,Is Casper WY closer to Kalamazoo MI or Daytona Beach FL?,"Daytona Beach, FL",0
"Lorain, OH",-82.184,41.4409,"Aurora, IL",-88.2901,41.7637,"San Francisco, CA",-122.443,37.7562,Is Lorain OH closer to Aurora IL or San Francisco CA?,"Aurora, IL",0
"Leander, TX",-97.8618,30.5728,"Johns Creek, GA",-84.2027,34.0333,"Hanover, PA",-76.9835,39.8117,Is Leander TX closer to Johns Creek GA or Hanover PA?,"Johns Creek, GA",0
"Dalton, GA",-84.9712,34.769,"Rio Rancho, NM",-106.6981,35.2872,"Hanover, PA",-76.9835,39.8117,Is Dalton GA closer to Rio Rancho NM or Hanover PA?,"Rio Rancho, NM",1
"Hialeah, FL",-80.3046,25.8696,"Alton, IL",-90.1523,38.9034,"Edina, MN",-93.3602,44.8914,Is Hialeah FL closer to Alton IL or Edina MN?,"Alton, IL",0
"Kingston, NY",-73.9968,41.9295,"Chandler, AZ",-111.8516,33.2826,"League City, TX",-95.1087,29.4873,Is Kingston NY closer to Chandler AZ or League City TX?,"League City, TX",1
